id,section,status,claim_truncated,source_file,source_exists,carried_by,derived_from,derived_from_ok,superseded_by,superseded_by_ok,pinned_by_test,test_exists,has_floor
STD-07,STD,VERIFIED,Every Type designation the manuscript relies on reproduc ...,TYPECHECK.md and results/typecheck/type_reverification.csv,yes,results/cp/README.md;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/methods.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"STD-01,STD-02,STD-03,STD-04",yes,,,tests/test_typecheck.py::test_every_type_reproduces,yes,yes
STD-08,STD,VERIFIED,"The provenance ceiling has three tiers, not one. General ...",results/typecheck/equipment_module_usage_by_iod.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,"STD-04,STD-07",yes,,,tests/test_typecheck.py::test_the_ceiling_has_three_tiers,yes,yes
V-11,V,VERIFIED,The dciodvfy person-name check is purely syntactic and c ...,COLOPHON_ADDENDUM_03.md and results/manuscript/methods.md,yes,,"W-04,C3T-09",yes,,,,,yes
PA-10,PA,MEASURED,Two of the three DICOM attribute names this study measur ...,results/prisma_s_rows.csv,yes,results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/introduction.md;results/prisma_s_rows.csv;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,tests/test_prior_art.py::test_europe_pmc_negative_is_recorded,yes,yes
PA-11,PA,MEASURED,No DICOM Correction Proposal in the complete numbered se ...,results/prisma_s_rows.csv,yes,results/cp/README.md;results/manuscript/discussion.md;results/prisma_s_rows.csv;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,tests/test_prior_art.py::test_cp_negative_covers_the_whole_series,yes,yes
STD-09,STD,VERIFIED,"Table C.8.20-4, the Segment Description Macro, carries S ...",results/typecheck/segment_tables_verbatim.md,yes,,"STD-07,STD-02,STD-03",yes,,,tests/test_typecheck.py::test_the_two_attributes_are_adjacent_rows_of_C_8_20_2,yes,yes
STD-10,STD,VERIFIED,"Supplement 243, Label Map Segmentation, Final Text 2024, ...",results/typecheck/segment_tables_verbatim.md,yes,results/cp/README.md;results/manuscript/discussion.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,STD-09,yes,,,,,yes
C3T-10,C3T,MEASURED,The object-weighted headline is concentrated in one clas ...,results/manuscript/table2.csv,yes,,C3T-00,yes,,,tests/test_manuscript_tables.py::test_leave_one_class_out_is_reported,yes,yes
FIG-01,FIG,MEASURED,"Six figures are drawn, each from a single named artefact ...",results/manuscript/figures.md and results/figures/manifest.json,yes,,,,,,tests/test_figures.py::test_every_annotated_value_is_in_the_ledger,yes,yes
REF-01,REF,MEASURED,Every citation in the manuscript resolves to a full refe ...,results/manuscript/references.md and results/manuscript/citation_check.json,yes,,,,,,tests/test_references.py::test_every_entry_carries_a_resolvable_identifier,yes,yes
REF-02,REF,VERIFIED,The Gene Expression Omnibus metadata completeness study ...,results/manuscript/references.md,yes,results/ai_use.md;results/manuscript/references.md,,,,,,,yes
REF-03,REF,VERIFIED,The software bill-of-materials study cited in the Discus ...,results/manuscript/references.md,yes,results/manuscript/references.md,,,,,,,yes
REF-04,REF,VERIFIED,The IHE AIR passage quoted verbatim in the Discussion is ...,results/manuscript/citation_check.json,yes,,G3-01,yes,,,tests/test_references.py::test_the_air_quotation_is_at_the_revision_and_page_the_discussion_names,yes,yes
REF-05,REF,VERIFIED,CP-2273 is in the standard at edition 2026b. The status ...,results/cp/dicom_status_rows.json,yes,results/ai_use.md,PA-11,yes,,,tests/test_references.py::test_the_standards_rows_match_the_pinned_status_table,yes,yes
REF-06,REF,VERIFIED,The five other Correction Proposals and Supplement 243 c ...,results/cp/dicom_status_rows.json,yes,,"PA-11,STD-10",yes,,,tests/test_references.py::test_the_standards_rows_match_the_pinned_status_table,yes,yes
FM-01,FM,VERIFIED,The author identifiers in the front matter are read from ...,results/manuscript/front_matter.md,yes,,,,,,,,yes
FM-02,FM,PENDING,"No Zenodo record exists for this repository, so code ava ...",results/manuscript/front_matter.md,yes,results/submission/07_checklist.md,,,,,tests/test_references.py::test_the_front_matter_leaves_its_unknowns_as_fields,yes,yes
FM-03,FM,VERIFIED,The commercial relationship disclosed in competing inter ...,results/manuscript/front_matter.md,yes,,,,,,,,yes
CPD-01,CPD,PENDING,A DICOM Correction Proposal harmonising the Type of Segm ...,results/cp/cp_segmentation_algorithm_identification.md and results/cp/README.md,yes,results/cp/EMAIL.md,,,,,tests/test_results_doc.py::test_the_correction_proposal_is_not_filed_until_it_says_so,yes,yes
CPD-02,CPD,VERIFIED,The wording the proposal asks for already exists in the ...,results/typecheck/segment_tables_verbatim.md and results/typecheck/type_reverification.csv,yes,results/ai_use.md,STD-07,yes,,,,,yes
CPD-03,CPD,DERIVED,Adopting the proposed change would make previously confo ...,results/cp/cp_segmentation_algorithm_identification.md,yes,results/ai_use.md,"P3-01,PRE-06",yes,,,,,yes
FIG-02,FIG,MEASURED,A truer exemplar for Figure 3's silent column exists: fo ...,results/figures/silent_column_check.json and results/figures/silent_column_candidates.csv and results/figures/figure3_objects.json,yes,results/ai_use.md;results/figures/manifest.json;results/manuscript/figures.md;results/submission/05_figure_legends.md,"C3T-03,P3-01",yes,,,,,yes
FIG-03,FIG,DERIVED,Two analysis results are recorded in the recoverability ...,results/figures/silent_column_check.json,yes,results/ai_use.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/assertions.json;results/submission/assertions.md,"C3T-03,C3T-09,P3-10",yes,,,,,yes
REF-07,REF,VERIFIED,The reference list is generated from structured entries ...,results/manuscript/references.md and results/manuscript/references_crossref.json,yes,,REF-01,yes,,,tests/test_references.py::test_every_entry_carries_a_resolvable_identifier,yes,yes
SUB-01,SUB,MEASURED,The submission package is assembled from the manuscript ...,results/submission/07_checklist.md and results/submission/manifest.json,yes,,,,,,tests/test_submission.py::test_the_checklist_records_no_unmet_requirement,yes,yes
SUB-02,SUB,VERIFIED,The venue requirements the package is built against were ...,results/submission/07_checklist.md and results/submission/venue_guidelines_read_2026-08-03.txt,yes,results/ai_use.md;results/submission/venue_guidelines_read_2026-08-03.txt,,,,,,,yes
SUB-03,SUB,MEASURED,"The abstract submitted is a 249 word form, and what the ...",results/manuscript/abstract_venue.md,yes,results/ai_use.md,"C3T-00,C3T-03,P3-01,P3-05",yes,,,tests/test_submission.py::test_the_abstract_is_within_the_word_limit,yes,yes
SUB-04,SUB,VERIFIED,"The blinded copy carries no author name, affiliation, id ...",results/submission/03_manuscript_blinded.md,yes,,,,,,tests/test_submission.py::test_the_blinded_copy_leaks_nothing_a_plain_search_would_find,yes,yes
SUB-05,SUB,MEASURED,"The venue requires a link to the imaging data used, and ...",results/submission/supplementary/S1_source_dois.csv,yes,,P0-02,yes,,,tests/test_submission.py::test_the_supplementary_index_points_at_files_that_exist,yes,yes
FIG-04,FIG,MEASURED,No figure draws a title or a caption into the illustrati ...,results/figures/manifest.json and results/manuscript/figures.md,yes,results/ai_use.md,,,,,tests/test_figures.py::test_no_figure_draws_a_title_or_a_caption,yes,yes
FIG-05,FIG,MEASURED,Every text colour used in the figures clears the contras ...,results/figures/manifest.json,yes,results/ai_use.md,,,,,tests/test_figures.py::test_every_lettering_pair_clears_the_contrast_minimum,yes,yes
FIG-06,FIG,MEASURED,"No figure is drawn wider than the venue's text column, s ...",results/submission/manifest.json,yes,results/ai_use.md,,,,,tests/test_figures.py::test_figure_width_is_measured_off_the_shipped_file_not_the_canvas,yes,yes
C3T-11,C3T,MEASURED,The version column of the recoverability ladder carries ...,results/claim3/t33_recoverability_ladder.csv and results/manuscript/table3.csv,yes,results/ai_use.md,C3T-03,yes,,,tests/test_manuscript_tables.py::test_no_manuscript_table_prints_nan,yes,yes
DEV-03,DEV,MEASURED,What the caller writes into SoftwareVersions on highdico ...,results/deviations/pin_deviations.json,yes,results/ai_use.md,DEV-02,yes,,,,,yes
FIG-07,FIG,DERIVED,The rule-ordering undercount recorded at FIG-03 is discl ...,results/manuscript/results.md and results/figures/silent_column_check.json,yes,results/ai_use.md,"FIG-03,C3T-03,C3T-09",yes,,,,,yes
SUB-06,SUB,DERIVED,The assembled manuscript body is long for an Original Pa ...,results/submission/07_checklist.md and results/submission/manifest.json,yes,,,,,,tests/test_submission.py::test_every_number_in_the_package_is_backed,yes,yes
SUB-07,SUB,MEASURED,The figure set regenerates byte-identical in every forma ...,results/figures/reproducibility.json,yes,,,,,,tests/test_addendum04.py::test_the_figure_set_reproduces_across_processes,yes,yes
SUB-08,SUB,MEASURED,Every row of the checklist's computed table reports some ...,results/submission/07_checklist.md,yes,,,,,,tests/test_addendum04.py::test_no_automatic_checklist_row_states_a_reason_instead_of_a_count,yes,yes
DISC-01,DISC,MEASURED,No object in the measured set is written by the disclose ...,results/claim3/disclosure_search.json,yes,results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/submission/00_cover_letter.md;results/submission/01_title_page.md;results/submission/02_manuscript_full.md,,,,,tests/test_addendum04.py::test_the_company_search_reports_what_it_could_not_search,yes,yes
DISC-02,DISC,MEASURED,Absence and universal claims across the package were swe ...,results/manuscript/absence_claims.md and results/manuscript/absence_claims.csv,yes,,,,,,tests/test_addendum04.py::test_the_absence_sweep_runs_and_reports_rather_than_edits,yes,yes
SUB-09,SUB,MEASURED,Every placeholder in the package is a key in one JSON fi ...,results/submission/fields.json,yes,,,,,,tests/test_addendum04.py::test_a_final_package_refuses_while_a_field_is_empty,yes,yes
SUB-10,SUB,MEASURED,The archived snapshot contains the code and the generate ...,results/release/snapshot.json and results/release/RELEASE_NOTES.md,yes,,,,,,tests/test_addendum04.py::test_the_release_metadata_exists_and_the_snapshot_is_stated,yes,yes
CPD-04,CPD,PENDING,"The Correction Proposal will be filed before submission, ...",results/cp/status.json,yes,results/cp/EMAIL.md,CPD-01,yes,,,tests/test_addendum04.py::test_the_manuscript_never_types_the_proposal_status,yes,yes
C3T-12,C3T,MEASURED,"The `(null)` cell is a residual bucket, defined where th ...",results/claim3/t33_recoverability_ladder.csv and results/manuscript/tables.md,yes,results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,C3T-03,yes,,,,,yes
C3T-13,C3T,MEASURED,Analysis-result cells are complete for the seven censuse ...,results/manuscript/tables.md,yes,results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,"PRE-06,C3T-03",yes,,,,,yes
SUB-11,SUB,MEASURED,Six defects of one shape were closed by strengthening th ...,results/submission/assertions.json and results/submission/assertions.md,yes,,,,,,tests/test_addendum04.py::test_no_automatic_checklist_row_states_a_reason_instead_of_a_count,yes,yes
SUB-12,SUB,MEASURED,The six figures are renumbered so that first citation in ...,results/submission/02_manuscript_full.md and results/manuscript/figures.md,yes,,,,,,,,yes
SUB-13,SUB,MEASURED,The Word files are produced from a converter pinned in i ...,results/submission/docx.json,yes,,,,,,,,yes
SUB-14,SUB,VERIFIED,The competing-interests employment window is stated by t ...,results/submission/fields.json and results/submission/01_title_page.md,yes,,,,,,tests/test_submission.py::test_the_employment_disclosure_names_the_two_works_it_says_it_names,yes,yes
REL-04,REL,MEASURED,Every version string in the package derives from one sou ...,colophon/__init__.py and results/submission/02_manuscript_full.md,yes,,,,,,tests/test_references.py::test_every_version_string_derives_from_one_source,yes,yes
